"","objectid","id_no","binomial","event_year","legend","kingdom","phylum","class","order","family","genus","category","latitude","longitude","area","threat_level"
"1","1197438",79,"Paracanthocobitis urophthalma",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","NEMACHEILIDAE","Paracanthocobitis","Endangered",6.6266,80.3684,"Asia","Threatened"
"2","953008",561,"Pinheyschna meruensis",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Pinheyschna","Least Concern",-8.933,27.199,"Africa","Least Concern"
"3","1180085",562,"Aeshna persephone",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Aeshna","Least Concern",37.27319,-113.08686,"America","Least Concern"
"4","92505",881,"Allotoca maculata",2016,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Allotoca","Critically Endangered",20.7682,-104.1144,"America","Threatened"
"5","4032850",1117,"Ameca splendens",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Ameca","Critically Endangered",20.6758,-103.8427,"America","Threatened"
"6","2594795",1781,"Antipodochlora braueri",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Antipodochlora","Least Concern",-36.4918,174.6062,"Oceania","Least Concern"
"7","570150",2271,"Ataeniobius toweri",2018,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Ataeniobius","Endangered",22.1865,-99.9013,"America","Threatened"
"8","3279829",2424,"Austrocordulia leonardi",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","NOT ASSIGNED","Austrocordulia","Vulnerable",-32.2425,151.6963,"Oceania","Threatened"
"9","4319242",2742,"Bellamya ecclesi",2006,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","VIVIPARIDAE","Bellamya","Critically Endangered",-14.08923,34.93017,"Africa","Threatened"
"10","1416818",2743,"Bellamya jeffreysi",2007,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","VIVIPARIDAE","Bellamya","Critically Endangered",-12.912143,34.300712,"Africa","Threatened"
"11","4086524",2751,"Bellamya robertsoni",2007,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","VIVIPARIDAE","Bellamya","Critically Endangered",-14.07799,34.93315,"Africa","Threatened"
"12","117489",2753,"Bellamya trochlearis",2004,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","VIVIPARIDAE","Bellamya","Data Deficient",-0.21666667,34.5,"Africa","Data Deficient"
"13","4037210",2759,"Belontia signata",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","OSPHRONEMIDAE","Belontia","Vulnerable",6.799591,81.115559,"Asia","Threatened"
"14","2731752",2807,"Biomphalaria angulosa",2006,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","HYGROPHILA","PLANORBIDAE","Biomphalaria","Least Concern",-9.67657,33.85102,"Africa","Least Concern"
"15","2444894",3320,"Bulinus succinoides",2007,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","HYGROPHILA","BULINIDAE","Bulinus","Endangered",-14.05723,34.91818,"Africa","Threatened"
"16","2226547",3627,"Calopteryx angustipennis",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Calopteryx","Least Concern",39.63773,-78.33317,"America","Least Concern"
"17","3567950",4249,"Ceriagrion mourae",2002,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ceriagrion","Least Concern",-8.25036111,38.63327778,"Africa","Least Concern"
"18","1904055",4531,"Characodon lateralis",2015,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Characodon","Critically Endangered",23.9053,-104.2703,"America","Threatened"
"19","2586999",4731,"Chlorolestes apricans",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","SYNLESTIDAE","Chlorolestes","Endangered",-32.50922,26.94475,"Africa","Threatened"
"20","879522",4836,"Herichthys minckleyi",2009,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Herichthys","Endangered",26.91,-102.036,"America","Threatened"
"21","4427879",4837,"Herichthys pantostictus",2016,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Herichthys","Least Concern",21.396722,-99.602222,"America","Least Concern"
"22","4036818",6252,"Devario pathirana",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Devario","Endangered",6.17874,80.58203,"Asia","Threatened"
"23","4180734",6623,"Dionda diaboli",2006,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Dionda","Endangered",29.12295058,-100.7147703,"America","Threatened"
"24","2200878",6975,"Ecchlorolestes peringueyi",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","SYNLESTIDAE","Ecchlorolestes","Near Threatened",-32.16648,18.99596,"Africa","Near Threatened"
"25","2005856",7720,"Enallagma recurvatum",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Enallagma","Least Concern",40.66956,-74.32017,"America","Least Concern"
"26","1735197",8034,"Erpetogomphus lampropeltis",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Erpetogomphus","Least Concern",29.82019997,-104.3030014,"America","Least Concern"
"27","3534552",9195,"Girardinichthys multiradiatus",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Girardinichthys","Endangered",19.0566,-99.3157,"America","Threatened"
"28","3161086",9196,"Girardinichthys viviparus",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Girardinichthys","Endangered",19.7877,-98.7192,"America","Threatened"
